For the Chinese people, this is very important especially in the traditional and cultural sense.	Per al poble Xinès, això és molt important, especialment en el tradicional i cultural sentit.
In this sense , the owner of this website makes express reservation of all rights .	En aquest sentit, el titular d’aquest lloc web fa expressa reserva de tots els drets.
the Aragon region	la regió Aragó
UNMOT's mandate was extended until 15 December 1996 on the condition that the Tehran Agreement and the ceasefire remained in force.	El mandat de la UNMOT es va prorrogar fins al 15 de desembre de 1996, amb la condició que l'Acord de Teheran i l'alto de Foc continuessin vigents.
Americans understood a basic fact: looking out for the other guy isn’t just good for the soul – it’s good for business.	Aquests americans caninos van entendre un fet bàsic: buscar l’altre noi no és només bo per a l’ànima: és bo per als negocis.
Going for a walk with the dogs…	...fer una excursió amb els gossos...
Back to activities	Torna a activitats
Her brother, Henry Clews, Jr. was an artist.	El seu germà, Henry Clews, Jr. era un artista.
"Civilian Casualties Stir Angst In Afghanistan". npr.org.	«Civilian Casualties Stir Angst In Afghanistan». npr.org, 27 agost del 2008.
The mayor of Cork and several important citizens went with Warbeck to England but when the rebellion collapsed they were all captured and executed.	L'alcalde de Cork i diversos ciutadans importants van ser amb Warbeck a Anglaterra, però quan la rebel·lió va caure tots van ser capturats i executats.
- What is Living Room Theater?	– Què és Teatre de Cambra?
The Hurd kernel is an experiment which aims to surpass existing Unix kernels in functionality, security, and stability, while remaining largely compatible with them.	El Hurd intenta superar els nuclis tipus Unix pel que fa a la funcionalitat, seguretat i estabilitat, però mantenint-se compatible amb ells.
Following the Napoleonic Wars and the Congress of Vienna in 1814-5 European powers agreed upon the need to suppress the Barbary corsairs entirely and the threat was largely subdued, although occasional incidents continued until finally terminated by the French conquest of Algiers in 1830.	Després de les guerres napoleòniques i el Congrés de Viena de 1814 a 1815, les potències europees van acordar la necessitat de suprimir els corsaris barbarescos del tot i es va aconseguir contenir l’amenaça en gran part, encara que incidents ocasionals continuarien succeint fins que finalment es controlés el perill que suposaven els musulmans per a les costa europea amb la conquesta francesa d’Algèria en l’any 1830.
"Spain's Gay Marriage Law Hits Snag Over Foreigners".	«Spain's Gay Marriage Law Hits Snag Over Foreigners» (en anglès).
In addition, El Niño is dissipating and NOAA’s Climate Prediction Center is forecasting a 70 percent chance that La Niña – which favors more hurricane activity – will be present during the peak months of hurricane season, August through October.	A més a més, El Niño s'està dissipant i el Centre de Predicció del Clima de la NOAA pronostica, amb una probabilitat del 70% que La Niña - que afavoreix una major activitat d'huracans - estarà present durant els mesos àlgids de la temporada, d’agost a octubre.
Maybe that will change from now on.	Potser això canviarà a partir d’ara.
”What Orwell feared were those who would ban books.	“El que Orwell temia eren aquells que prohibirien els llibres.
“Today marks a significant milestone in the storied histories of our two companies,” said Andrew Liveris, Executive Chairman of DowDuPont.	“El dia de la fusió va ser una important fita en la història de nostres dues companyies”, afirmà Andrew Liveris, President Executiu de DowDuPont.
From the space program to countercultural architectural groups experimenting with autonomous living, The Architecture of Closed Worlds documents a disciplinary transformation and the rise of a new environmental consciousness.	Des del programa espacial fins als grups arquitectònics contraculturals que experimenten amb la vida autònoma, ‘Arquitectura de mons tancats’ documenta una transformació disciplinària i el sorgiment d’un nou consens ambiental en forma d’un naturalisme sintètic.
Southern Shan States	Estats Shan Meridionals
There are always positives to take from negative situations.	Sempre es poden treure coses positives de les situacions adverses.
Guests are greeted upon entrance to this fantastic museum by a giant white chocolate ape, known as Snowy. They are then handed their own bar of chocolate to munch on as they wander through the building, taking a tour around the many chocolate statues and monuments ranging from Minnie Mouse and Louis Armstrong, to the Sagrada Familia and creations from Parc Güell: all made out of delectable chocolate!	Els clients són rebuts a l'entrada a aquest fantàstic museu per un mico gegant de xocolata blanca, conegut com Nevado. A continuació, es lliuren la seva pròpia barra de xocolata per picar, ja que deambulen per l'edifici, tenint un recorregut per les moltes estàtues de xocolata i monuments que van de Minnie Mouse i Louis Armstrong, a la Sagrada Família i les creacions del Parc Güell: tots els fets xocolata deliciosa!
Your everyday activities are now easier	Les tasques diàries, ara més fàcils
The Quadratic Reciprocity Law	Llei de reciprocitat quadràtica
Making our website work as you’d expect	Fent que el nostre lloc web funcioni com esperaries.
For a long time the Marxists were compelled to swim against the stream.	Durant molt temps els marxistes es van veure obligats a nedar contra corrent.
Surface fields and parameters were obtained from a number of different sources and validated against observations and long period integrations of the land surface model.	Els camps de superfície i diversos paràmetres s’obtenen a partir d'una sèrie de fonts diferents i es validen amb les observacions i les integracions a llarg termini del model de superfície de la terra.
John Paul II, Apostolic Letter Novo Millennio Ineunte (6 January 2001), 38 and 39: AAS 93 (2001), 293-294.	Joan Pau II, Carta ap. Novo millennio ineunte (6 de gener de 2001), 43: AAS 93 (2001), 296-297.
Japanese, Asian, Lingerie Asian Mature, Hairy Japanese, Hairy Mature	Japonesa, Asiàtica, Llenceria Asiàtica Madura, Peluda Japonesa, Peluda Madura
Despite consensus on this point, what we have seen over the past year is a frenzy of activity – mostly uncoordinated – in research and development efforts.	Tot i el consens en aquest punt, el que hem vist en l'últim any és un frenesí d'activitat - la majoria sense coordinació - en els esforços de recerca i desenvolupament.
Early spring weather like doll face, volatile.	El temps de primavera primerenca com a cara de nina, volàtil.
Civil society/social movements	De la societat civil / moviments socials
We sit under the umbrellas of olive trees.	Ens asseiem sota l’ombra de les oliveres.
Education Training and Awareness - Raising	Educació formació i sensibilització
Start with your GP and see if you can take advantage of the Improving Access to Psychological Therapies initiative.	Comenceu amb el seu metge de capçalera i veure si es pot treure profit de la millora de l'accés a iniciativa de teràpies psicològiques.
The campaign was successful, but it would still be some time before the French were able to occupy Southern Spain.[12]	La campanya fou un èxit, però hauria de passar un temps abans que els francesos fossin capaços d'ocupar el sud d'Espanya.[29]
$1 million in sales in 2012.	Milions d'euros de vendes el 2012.
Download1:18 Insertion	Descarregar1:18 Inserció
Next season can only be better.”	La pròxima temporada pot fer-ho millor».
Why do other people hate America?	Per què la resta del món sembla odiar Amèrica?
In the case of males orchiectomy is performed, so the testes are removed. In females, the ovaries are removed and the matrix (ovariohysterectomy). In neither of them apply external points so that the recovery is quicker and does not require using buster.	En el cas dels mascles es realitza una orquidectomia, és a dir, s’extirpen els testicles. En les femelles, s’extreuen els ovaris i la matriu (ovariohisterectomia). En cap dels dos se’ls apliquen punts externs pel que la recuperació és més ràpida i no precisen de l’ús de buster-campana.
Tuesday, January 13th, 2015	dimarts , 13 de gener de 2015
21300 series	21300 sèrie
This is the first time that Viena has cooperated in this way, and we were clear from the start that we wanted to work with you.	És la primera vegada que Viena fa una col·laboració d’aquest tipus, i teníem ben clar des del principi que volíem participar amb vosaltres.
What if they use the jerseys seven times a year?	¿Que passa si utilitzen les samarretes set vegades a l'any?
The above requirements must be transferred to the entire organization in a documented manner and, at the same time, the quality requirements of the organization must be transmitted to the suppliers.	Els anteriors requisits han de ser transferits a tota l’organització de forma documentada i, al mateix temps, s’han de transmetre els requisits de qualitat de l’organització als proveïdors.
Home / Bed linen / Bed linen / Game sheets 100% cotton 200 thread - ANDREA - basics	Inici / Roba de llit / Llençols / Joc de llençols 100% Cotó 200 Fils - ANDREA - ABECÉ
As interesting fact, the level of environmental and ecological awareness of the citizenship was evident, shown in one of the most voted projects, the construction of a bike lane to access an area of institutes.	Com a dada interessant, destacar que va quedar patent el nivell de conscienciació ambiental i ecològic de la ciutadania atès que un dels projectes més votat va ser el de la construcció un carril bici per a accedir a una zona d’instituts.
The legal grounds for processing personal data are as follows: a) when the user is a natural person, the consent and/or execution of the contract when the interested party is part of it, and b) when the user represents a legal entity, the consent and/or legitimate interest, in relation to the data of the contact persons.	La base jurídica del tractament de dades personals és: a) quan l’usuari sigui una persona física, el consentiment i/o execució del contracte quan l’interessat sigui part del mateix, i b) quan l’usuari representa a una persona jurídica, el consentiment i/o, en relació amb les dades de les persones de contacte, l’interès legítim.
Customer service	Atenció al client.
The eMac, short for education Mac, is a Macintosh desktop computer made by Apple Inc.	L'eMac, contracció d'education Mac, va ser un ordinador d'escriptori McIntosh fet per Apple Inc.
Weaver ant colonies are founded by one or more mated females (queens).[14] A queen lays her first clutch of eggs on a leaf and protects and feeds the larvae until they develop into mature workers.	Les colònies de formigues teixidores són fundades per una o diverses femelles fèrtils que s'han aparellat (reines).[11] Una reina realitza la seva primera posada d'ous en una fulla i protegeix i alimenta a les larves fins que es desenvolupen en obreres madures.
Take a few seconds to respond.	Triga uns segons en contestar.
The European Parliament has voted to adopt the first-ever multiannual plan for fishing in the Western Mediterranean Sea but rejected the necessary conservation measures that would fix the region’s overfishing crisis, where over 80% of stocks are overexploited and some at risk of collapse.	El Parlament Europeu ha votat a favor d'adoptar el primer pla plurianual per a la pesca al Mar Mediterrani Occidental, però va rebutjar les mesures de conservació necessàries que solucionarien la crisi de la sobrepesca de la regió, on més de 80% de les poblacions estan sobreexplotades i algunes estan en risc de col·lapse.
Downer with U.S. Secretary of State Condoleezza Rice in 2007.	secretària d'estat dels Estats Units Condoleezza Rice el 2007.
As far as the linguistic diversity is concerned, the European Union has 24 official languages and several others.	Pel que fa la diversitat lingüística, la Unió Europea té 24 llengües oficials i moltes altres llengües pròpies.
Updated to service.softcam.oscam-emu-r10937-pc-nodmx.zip 701 KB	Actualitzat a Service.softcam.oscam-UEM-r10937-pc-nodmx.zip 701 KB
Explain how to use the default security roles.	Expliqueu com utilitzar els rols de seguretat predeterminats.
The user must return the products to the address specified by Kave at any time or, failing that, to the following address: Polígono Industrial Pla de la Mata, sector S-3, Carretera Hostalric-Blanes C-35 km.	El client haurà de tornar els productes o lliurar els béns a la direcció especificada per Kave Home en cada moment o, si no, a la següent adreça: Polígon Industrial Pla de la Mata, sector S-3, Carretera Hostalric-Blanes C-35 km. 72, 08495 Fogars de la Selva (Barcelona).
CIRCUTOR's capacitor banks can feature the Reactive Energy Efficiency Kit as an option. The kits are composed of: a reactive energy regulator which, in turn, is a powerful power analyzer; an EDS energy efficiency manager; a special SCADA application; and a web server.	Les bateries de condensadors de CIRCUTOR ofereixen l'opcio d'incorporar el Kit Reactiva per a Eficiència Energètica. Composat per un regulador d'energia reactiva, que, al seu temps, és un potent analitzador de xarxes, un gestor d'eficiència energètica EDS amb aplicació SCADA incrustada, dissenyada per a la gestió energètica, i servidor web.
Wikileaks is good news.	Wikileaks és una bona notícia.
Select IndustryAutomotive and suppliesBiotechnologiesChemicalsClothing and accesoriesConsumer packaged goodsCosmeticalElectrical engineering and electronicsFood & beverageFurniture and wood products industryMedical devices (equipment & supplies)Metals industryPaints and coatingsPharmaceuticalPlant and machine engineeringPlastics / vulcanized rubberPrecision mechanics and opticsPrinting and packagingPulp and paperTanning and leatherOther	Seleccioni el SectorAlimentació i begudesArts gràfiques i embalajeAutomòbil i componentsBens de consum envasatBiotecnologiaCosmèticaAdoberia i pellDisseny elèctric i electrònicDispositius mèdicsEquipament de planta i maquinàriaFarmacèuticMecànica de precissió i ópticaMetallMobiliari i derivats de la fustaPapereraPintures i recubrimentsPlàstics / vulcanitzatsQuímicaTèxtil i accessorisUn altre
commissioned by the Kenyan government	encarregat pel govern de Kènia
Israeli Prime Minister Benjamin Netanyahu called Mr. Trump's announcement a welcome "historic decision" and an important step toward peace because "there is no peace that doesn't include Jerusalem as the capital of Israel."	El primer ministre israelià, Benjamin Netanyahu, va valorar com a «justa i valenta» la decisió de Trump i va dir que «és un pas important per a la pau perquè no hi ha pau que no inclogui Jerusalem com a capital de l'Estat d'Israel».
The app is enabled to be used with mirrors and to share files via email and iTunes.	La app està habilitada per ser utilitzada amb miralls i per compartir arxius via correu electrònic i per iTunes.
the European construction.	La construcció europea.
There has to be a renewal.	Hi ha d’haver renovació.
“We can teach those young people, sometimes so focused on themselves, that there is more joy in giving than in receiving, and that love is not only shown in words, but also in actions”.[108]	«Als joves excessivament preocupats d’ells mateixos podem ensenyar-los que s’experimenta més gran alegria en donar que en rebre, i que l’amor no es demostra sols en paraules, sinó també amb obres» [108].
If by philosophy we mean reasoned and thoughtful analysis, then it can address the moment, though not by confronting the “alternative facts” but by analyzing and clarifying what is at stake, whatever the issue is.	Si entenem per filosofia l’anàlisi raonada i reflexiva, pot abordar el moment actual no pas confrontant els fets alternatius sinó analitzant i aclarint el que està en joc, amb independència del tema de què es tracti.
The purpose of a public body, such as a public administration, is not to make money but to serve the public, a very different purpose to making money.	A aquest objectiu està supeditat tot.L'objectiu d'una entitat pública, com és l'administració pública, no és fer diners, sinó servir a la ciutadania, un objectiu molt diferent al d'aconseguir diners.
Birds have one of the most complex respiratory systems of all animal groups.[62] Upon inhalation, 75% of the fresh air bypasses the lungs and flows directly into a posterior air sac which extends from the lungs and connects with air spaces in the bones and fills them with air.	Els ocells tenen un dels aparells respiratoris més complexos de tots els grups d'animals.[50] Durant la inhalació, un 75% de l'aire fresc passa de llarg dels pulmons i flueix directament dins un sac aeri que s'estén des dels pulmons i es connecta amb espais aeris dins els ossos i els omple d'aire.
No, but allow donations from unions and non-profits	No, però permetre que les donacions dels sindicats i organitzacions no lucratives
Still another theory proposes that, again, particularly in older dogs, the spleen can become enlarged due to congestion or cancer.	Una altra teoria proposa que, un cop més, sobretot en gossos d'edat avançada, la melsa pot engrandir-se a causa de la congestió o el càncer.
In the case of commercial communications sent via email or equivalent means,	En cas de comunicacions comercials rebudes a través del correu electrònic o mitjà equivalent, vostè.
27Early the next morning Abraham got up and returned to the place where he had stood before the LORD.	27 Abraham es va aixecar de matinada i anà a l’indret on havia estat davant el Senyor.
Now, the name of this talk is "There is Plenty of Room at the Bottom"—not just "There is Room at the Bottom."	“Ara bé, el nom d’aquesta xerrada és “Hi ha espai de sobra al fons” –no només “Hi ha espai al fons”.
Our Reception is open until 20:00.	La recepció és oberta fins a les 20:00.
Overview: This movie tells the intersecting stories of various people connected to the music business in Nashville.	Aquesta pel·lícula explica històries que es creuen de diversa gent connectada al negoci de la música a Nashville.
There also will be a Jury’s Special Award.	També es donarà el Premi Especial del Jurat.
the Humanist Parties	dels Partits Humanistes
Via Laietana will be completely clear of vehicles from 11 am to 8 pm, and in particular the exhaust fumes they produce.	De les onze del matí a les vuit del vespre la via Laietana quedarà totalment lliure de vehicles i, sobretot, dels fums que produeixen.
Airbus is also planning to activate the central fuel tank for the first time for the -300 model.[121]	Airbus també té previst activar el dipòsit de combustible central per primera vegada en l'A330-300.[111]
Anderson, Dan O'Bannon and Ronald Shusett wrote the story; and Anderson and Shane Salerno adapted the story into a screenplay.	Anderson, Dan O'Bannon i Ronald Shusett van escriure la història mentre que Anderson i Shane Salern van adaptar el guió.
My experience, which is considerable, in treating the diseases of stove workers, compels me to express the opinion that their sanitary condition is by no means so high as that of the operatives in a spinning factory and Capital, in its memorials to Parliament, had painted them as floridly healthy after the manner of Rubens.	La meua experiència, que és considerable, en el tractament de les malalties de les treballadores de l'assecat, m'obliga a expressar l'opinió que la llur condició sanitària no és de cap manera tan alta com la de les operàries d'una filadora» (i el capital, en els memorials al Parlament, les havia pintades com floridament sanes a la manera de Rubens).
Construction of these mansions began as early as 1720.[7] Gustav Holst and Ninette de Valois lived in houses on this stretch, both of which have corresponding blue plaques.	La construcció d'aquestes cases va començar en 1720.[2] Gustav Holst i Ninette de Valois van viure en aquesta secció.
Attracting students from all over the world, GSD is committed to offering excellent education to a small number of highly qualified students.	Atraure estudiants de tot el món, GSD es compromet a oferir una educació excel·lent a un petit nombre d'estudiants altament qualificats.
And why they come to you?	I per què els hi venien a vostè?
Those Kirishitan wanted to see the statue of St. Mary with their own eyes, and to confirm that the priest was single and truly came from the pope in Rome.	Aquests Kirishitans volien veure la imatge de la Mare de Déu amb els seus propis ulls, i per confirmar que el capellà era únic i veritablement venia del Papa a Roma.
"None of us can feel exempted from the duty of countering these falsehoods.	Cap de nosaltres no es pot eximir de la responsabilitat de fer front a aquestes falsedats.
Rating: 4 out of 5	Classificació: 4.5 de 5
When we started designing the renovación de los exteriores ajardinados of this residence, we had in mind to change the wild aspect of certain areas of the garden, certain plant species tend to grow unevenly, and can become a difficult task to model the garden in a certain way, given that we soil plants such as we had in the front garden of the residence.	Quan vam començar a dissenyar la renovación de los exteriores ajardinados d’aquesta residència, teníem en ment canviar l’aspecte silvestre de certes zones del jardí, certes espècies de plantes acostumen a créixer de forma irregular, i pot arribar a ser una tasca ben difícil modelar el jardí d’una manera determinada, tenint en compte que tenim aquestes plantes de sòl, com les que teníem en anterior jardí de la residència.
R de Rural guarantees the confidentiality of personal data provided by users and / or customers, and its computerized treatment in accordance with current data protection regulations, as well as its correct safe storage to prevent access by unauthorized third parties to the information.	R de Rural garanteix la confidencialitat de les dades de caràcter personal facilitades pels usuaris i/o clients, i el seu tractament informatitzat d’acord amb la normativa de protecció de dades vigent, així com el seu correcte emmagatzemament segur per evitar l’accés de tercers no autoritzats a la informació.
Boxes / pallet	Caixes / Palet
"In each civilization the figure of the dragoon plays an important role like God, guardian, and in some cases like demon, but all these mythological senses agree in which it is a powerful being and respectable, in some civilizations is also recognized to own great wisdom.	A cada civilització la figura del drac juga un paper important com a déu, guardià, i en alguns casos com a demoni, però tots aquests sentits mitològics estan d’acord en què es tracta d’un ésser poderós i respectable, en algunes civilitzacions és reconegut també per posseir gran saviesa.
* 10th april, 2004 Rally New Zealand on 15th, 16th, 17th and 18th of April. Fourth rallye of the new World Rallye Championship 2004. http://www.rallynz.org.nz	* 10.04.2004 Ral·li de Nova Zelanda els dies 15, 16, 17 i 18 d'Abril. Quarta cursa del Campionat Mundial de Ral·lis 2004. http://www.rallynz.org.nz
the Department of Agriculture Food and Rural Action ( DAR	del Departament d’ Agricultura Alimentació i Acció Rural ( DAR
The official editing language is Catalan.	La llengua oficial de la Redacció és el català.
Any payment transactions will be encrypted using suitable technology.	Totes les transaccions de pagament s'han de xifrar usant la tecnologia adequada.
At its worst, it can kill.	En els pitjor dels casos, pot matar.
Their music began to gravitate more towards MPB, particularly due to João Gilberto's influence,[4] who frequently visited the group.	La seva música va començar a tendir més cap a la música popular brasilera, particularment degut a la influència de João Gilberto, qui sovint visitava el grup.
• You have an interesting life and you are positive about your future.	Tens una vida interessant i ets positiu sobre el teu futur.
Would it cause problems later?	Això comportarà problemes a posterior?
Javi Martin, geographer of the department. of Geography of the UdG and author of the report published by the FCE, highlighted some points exposed to the study that help to understand why some of these ideas defended by Pasqual Maragall are still in force.	Javi Martin, geògraf del dept. de Geografia de la UdG i autor de l’informe publicat per la FCE, ha destacat alguns punts exposats a l’estudi que ajuden a entendre el per què algunes d’aquestes idees defensades per Pasqual Maragall són encara vigents.
According to a popular legend, Ponce de León discovered Florida while searching for the Fountain of Youth.	Segons una llegenda popular, Ponce de León va descobrir Florida mentre buscava la Font de l'eterna joventut.
food machines, Lab machines, Packing machin - Smile	màquines d'aliments, màquines d'embalatge de laboratori, Machin - Smile
We keep your data in our relationship and while we force the laws.	Conservarem les seues dades durant la nostra relació i mentres ens obliguen les lleis.
After the disbanding of Eden's Crush, Scherzinger made a few promotional solo appearances under the stage name of Nicole Kea, including covering "Breakfast in Bed" for the soundtrack to 50 First Dates in 2003.	Després de la dissolució d'Eden's Crush, Scherzinger va fer algunes aparicions promocionals en solitari sota l'àlies de Nicole Kea, inclosa una versió de "Breakfast in Bed" per a la banda sonora del film 50 First Dates el 2003.
Astronomers have proposed two possible origins for the bipolar lobes: a firestorm of star birth at the Milky Way’s center or the eruption of its supermassive black hole.	Els astrònoms han proposat dos posibles orígens dels lòbuls bipolars: una tempesta ocasionada pel naixement d’estrelles situades en el centre de la Via Làctia, o l’erupció d’un forat negre supermassiu.
DARYD: Department of anaesthesiology, resuscitation and pain treatment - general anesthesia	DARYD: Departament d'Anestesiologia, Reanimació i dolor tractament - anestèsia general
There are still days…	I encara queden dies...
If you are a passenger or companion and you consult the website prior to leaving for the airport, keep in mind that the flight information is updated in real-time and that it may change while you are on your way.	Si sou passatger o acompanyant i consulteu el web abans de dirigir-vos a l'aeroport, tingueu en compte que la informació de vols s'actualitza en temps real i que pot variar durant el vostre desplaçament.
Platform Cloud – Platform as a Service (PaaS)	Plataforma en el núvol com a servei - PaaS
Changes in Temperature, Sea Level & Northern Hemisphere Snow Coverage	Canvis en la temperatura, el nivell del mar i la coberta de neu a l’Hemisferi Nord
This is the reason why the European Commission has proposed the target of a 20% increase in sustainable aquaculture production in the Mediterranean.	La Comissió Europea ha proposat l'objectiu d'un augment del 20% en la producció sostenible de l'aqüicultura a la Mediterrània.
are deceased or missing.	Morts o desapareguts.
allows viewers to access based on their membership	permet als espectadors a l'accés basat en la seva condició de membre
In this sense, David Solit, an American oncologist, focuses his scientific efforts on understanding the mechanisms that cause certain people to respond exceptionally to a new drug, when this has failed in all other participants of the clinical trial, trying to find the crux of the question from the exception.	En aquest sentit, David Solit, un oncòleg nord-americà, centra els seus esforços científics a comprendre els mecanismes que fan que determinades persones responguin excepcionalment a un nou fàrmac, quan aquest ha fallat en tots els altres participants de l'assaig clínic, pretenent treure'n l'entrellat a partir de l'excepció.
You can cancel your consent to advertising purposes as stated in the procedure in Enforcement of ARCO Rights.	Pot revocar el consentiment per a finalitats publicitàries segons procediment descrit en Exercici Drets ARCO.
In addition to its excellent location in the south of the Barcelona metropolitan area, Ca n’Alemany occupies a centrally placed site in the Baix Llobregat, in the municipality of Viladecans, an area of manufacturing, tertiary and logistics activity which is fully consolidated, but with potential for growth.	A més de la seva excel·lent ubicació en el sud de l’àrea metropolitana de Barcelona, Ca n’Alemany ocupa uns terrenys cèntrics del Baix Llobregat, al municipi de Viladecans, una àrea d’activitat productiva, terciària i logística plenament consolidada, però amb capacitat de creixement.
the Organization for Security and Co-operation in Europe ( OSCE )	L' Organització per la Seguretat i la Cooperació a Europa ( OSCE )
In the 1970s, decimal CORDIC became widely used in pocket calculators, most of which operate in binary-coded-decimal (BCD) rather than binary.	En els anys 1970, la implementació en el sistema de numeració decimal del CORDIC va arribar a ser usat extensament en les calculadores de butxaca, la majoria de les quals operava en binary-coded decimal (BCD) en comptes de binari.
And why only a few of us?	I per què només algunes?
Loss of initiative – showing less interest in starting something or going somewhere.	Pèrdua de la iniciativa - demostrant menys interès per iniciar alguna cosa o anar a algun lloc.
More reservation lands were established for the tribes, but the treaty required Virginia Native American leaders to acknowledge they and their peoples were subjects of the King of England.	Es van establir més terres de reserva per a les tribus, però el tractat requeria als líders amerindis de Virgínia reconèixer que ells i els seus pobles eren subjectes del rei d'Anglaterra.
What is the future that the Mediterranean forests expect?	Quin és el futur que esperen els boscos mediterranis?
On the second floor there are five double bedrooms, a reading room and three complete bathrooms.	A la segona planta hi trobem cinc dormitoris dobles, sala de lectura i tres banys complets.
In 1941 and 1942, about 40,000 Jews were deported to the Lodz ghetto from Germany, Austria, the Protectorate of Bohemia and Moravia, Luxembourg, and smaller towns in the Lodz province.	Entre 1941 i 1942, quasi 40.000 jueus van ser deportats al ghetto de Lódz: 20.000 des d'Alemanya, Àustria, el Protectorat de Bohèmia i Moravia, i Luxemburg; i quasi altres 20.000 des dels pobles de Warthegau.
The second type of gene therapy, “somatic cell gene therapy”, is analogous to an organ transplant.	El segon tipus de teràpia gènica, “teràpia gènica de cèl·lules somàtiques”, és anàlega a un trasplantament d'òrgan.
On a political level, the Frankish warlords abandoned tribalism[38] and founded a number of kingdoms, eventually culminating in the Frankish Empire of Charlemagne.	A nivell polític, els senyors de la guerra francs abandonats tribalisme[25] i van fundar diversos regnes, culminant finalment en l'Imperi Franc de Carlemany.
Its best known role is that it is the steward of a large number of significant historical and archaeological sites, from Stonehenge to the world's earliest iron bridge.	El seu rol més conegut és el d'administrador d'un gran nombre de monuments històrics i llocs arqueològics, des Stonehenge fins al pont de ferro més antic del món.
But it is normal to want to know us and what we do.	Però és normal que vulguis conèixer-nos i saber què fem.
He has been distinguished throughout his career with several awards such as the Delta de Plata 2009, or the Premi Catalunya d'Ecodisseny in 2011 and 2015.	Ha estat distingit al llarg de la seva trajectòria amb diversos premis com el Delta de Plata 2009, o el Premi Catalunya d’Ecodisseny el 2011 i el 2015.
Santiago was seen as one who could read the game at a different level than his opponents.	Santiago va ser vist com un que va poder llegir el joc a un nivell diferent dels seus oponents.
Immediately upon returning to Dover in England, Henry and Anne were secretly married, finally enjoying a sexual relationship after seven years.[9] She became pregnant within a few months and, as was the custom with royalty, there was a second wedding service, which took place in London on January 25, 1533.	Immediatament després de tornar a Dover, a Anglaterra, Enric i Anna van celebrar una cerimònia matrimonial en secret.[26] Ella va quedar embarassada en uns mesos i, com era costum en la reialesa, va haver-hi una segona cerimònia matrimonial, que va tenir lloc a Londres el 25 de gener de 1533.
South-South is a term used in the development community describing cooperation or engagement between countries of the global South. Much of our coverage examines how South-South Cooperation is emerging as an integral part of development work, as countries of the South become increasingly active in helping each other address economic, social and environmental challenges.	Sud-Sud és un terme utilitzat a la comunitat de desenvolupament que descriu la cooperació o compromís entre països del Sud global. Bona part de la nostra cobertura examina com la cooperació Sud-Sud està sorgint com a part integral del treball de desenvolupament, ja que els països del Sud es tornen cada cop més actius a ajudar-se a abordar els reptes econòmics, socials i ambientals.
The 43rd edition of FILMETS Badalona Film Festival will present short films of great quality which have been already awarded in other festivals.	La 43a edició del FILMETS Badalona Film Festival presentarà curtmetratges de gran qualitat que ja han estat guardonats en d’altres festivals de cinema.
The business family that I have the honor to represent has always felt, right from its beginnings, the need to contribute its humble grain of sand towards broadening the knowledge and diffusion of Catalan music and culture, with creative and innovative proposals able to captivate hearts around the world.	La família empresarial que em digno a representar, ja ben bé des dels seus inicis, ha sentit la necessitat de posar el seu humil granet de sorra envers el millor coneixement i la projecció de la música i la cultura catalanes arreu, amb propostes creatives i innovadores capaces de captivar els cors del món.
Digital Storytelling is an emerging term that uses new digital tools to help ordinary people tell their own “true stories” in a compelling and emotionally engaging form.	-El relat digital és un nou terme que utilitza les ferramentes digitals per ajudar a la gent comú a contar les seues propies històries reals d'una forma convicent i amb atractiu emocional.
• Although there are different ways to extract value, the responsible use of data must be present in all of them.	• Malgrat que hi ha diferents maneres d’extreure valor, l’ús responsable de les dades ha d’estar present en totes elles.
Xiquet and the rest of the family were able to continue entrepreneurial spirit of “l’àvia Clareta” and make Hotel Aigua Blava one of the most praised and rewarded hotels of its type, both nationally and internationally.	En Xiquet i la resta de la família van saber continuar l'esperit emprenedor de “l’àvia Clareta” i fer de l'Hotel Aigua Blava un dels més alabats i premiats hotels del seu entorn, prestigiat tant a nivell nacional com internacional.
Just like she did three years ago.	Igual que va fer fa tres anys.
(Fridays and Saturdays until 24h)	( Divendres i dissabtes fins les 24h )
For example, the rank that became air chief marshal would have been air admiral.	Per exemple, el rang que acabaria sent Comandant d'Ala hagués estat Comandant de l'Aire.
A good SEO optimization software should also provide you with the information about existing website errors to show you what elements of your site you need to improve to get more traffic and sales.	Un bon programari d'optimització de SEO també us ha de proporcionar la informació sobre els errors del lloc web existents per mostrar-vos quins elements del vostre lloc web cal millorar per obtenir més trànsit i vendes.
The orgasm It is characterized by a rise in blood pressure, an increase in heart rate, a deeper and faster breathing, congestion of special tissues with blood (penile cavernous bodies in men and clitoris and perivaginal area in women) and finally , the explosive release of accumulated nerve tension.	La resposta orgàsmica està caracteritzada per una elevació lleu de la pressió arterial, augment de la freqüència del pols, respiració més profunda i ràpida, congestió dels teixits especials amb sang (cossos cavernosos penians i clítoris i zona perivaginal en la dona) i finalment, l'alliberament explosiva de tensió acumulada, el que finalment, anomenem orgasme.
