The lowest temperature ever measured is -37.8 ° C on January 15, 1957.	La temperatura más baxo enxamás midida ye de -37,8 °C el 15 de xineru de 1957.
Joe plays the lead male role and lead singer "Shane Gray"; Nick plays the role of "Nate", a guitarist and drummer; and Kevin plays the role of "Jason," also a guitarist.	Joe interpreta'l papel principal masculín y cantante "Shane Gray", Nick desempeña'l papel de "Nate", un guitarrista y un baterista, y Kevin desempeña'l papel de "Jason", tamién guitarrista.
Vivekananda’s arrival in the USA is seen as stimulating western interest in Hinduism not as merely an exotic eastern oddity, but as a vital religious and philosophical tradition that actually has something important to teach the West.	La llegada de Vivekananda a los Estaos Xuníos foi identificada por munchos como'l principiu del interés occidental pol hinduismu, non como singularidá oriental exótica sinón como tradición relixosa y filosófica vital que puede realmente tener daqué importante qu'apurrir a occidente.
In 1995 she was given Billboard's Century award.	En 1995 recibió'l "Century Award" de Billboard.
At the beginning of 1903, Gauguin engaged in a campaign designed to expose the incompetence of the island's gendarmes, Jean-Paul Claverie, taking the side of the natives directly in a case involving the alleged drunkenness of a group of them.[201] Claverie, however, escaped censure.	Al entamu de 1903, Gauguin arreyar con una campaña pa esponer la incompetencia del xendarme de la isla, Jean-paul Claveria, tomando'l llau de los nativos directamente nun casu qu'arreyaba'l supuestu enfile d'un grupu d'ellos.[183] Sicasí, Claverie escapó la censura.
Save session interval in minutes	Intervalu de guardáu de la sesión en minutos
As he grew older, Turner became more eccentric.	Conforme avieyaba, Turner volvióse más excéntrico.
On June 20, 1790, the anniversary of the first act of defiance against the King, the oath of the tennis court was celebrated.	El 20 de xunu de 1790 celebróse l'aniversariu del primer actu de rebeldía contra'l rei, El xuramentu del Xuegu de Pelota.
The certificate hasn't yet been activated	El certificáu entá nun s'activó
Santo Domingo's Basketball Tournament Superior is held in the National District each year, with several teams participating and representing several sectors and social clubs of the city.	En Santu Domingo realiza cada añu'l Tornéu de Baloncestu Cimero del Distritu Nacional, onde dellos equipos participen representáu sectores y clubes sociales de la ciudá.
Smaller sized colonies are also found elsewhere in the British Isles, the Murmansk area of Russia, Novaya Zemlya, Spitzbergen, Labrador, Nova Scotia and Maine.	Colonies más pequeñes tamién s'atopen en British Islles, la área Murmansk en Russia, Novaya Zemlya, Spitzbergen, Llabrador, Nova Scotia y Maine.
Power lies firmly in the hands of the authoritarian president since 1982, Paul Biya, and his Cameroon Peoples Democratic Movement party.	El poder ta firmemente controláu pol presidente autoritariu del país dende 1982, Paul Biya, y el so partíu, el Movimientu Democráticu de la Xente del Camerún (Cameroon People's Democratic Movement).
Pitt met Jennifer Aniston in 1998 and married her in a private wedding ceremony in Malibu on July 29, 2000.	Pitt conoció a l'actriz de Friends Jennifer Aniston en 1998 y casóse con ella nuna ceremonia privada en Malibú'l 29 de xunetu de 2000.
Tampa is bordered by two bodies of water, Old Tampa Bay, and Hillsborough Bay, which flow together to form Tampa Bay, which in turn flows into the Gulf of Mexico.	La ciudá ta arrodiada per dos grandes mases de agua: Old Tampa Bay y Hillsborough Bay, dando llugar a la Bahia de Tampa, que s'abre finalmente hacia'l Golfu de México.
Overall life expectancy is 80.6 years.	La esperanza de vida media ye de 80.6 años.
Martha Hyer 10 August 1924, Fort Worth, Texas, USA	Nome real: Martha Hyer: Nacencia: 10 d'agostu de 1924 Fort Worth, Texas, Estaos Xuníos
My host, who stood on one side of the great fireplace, leaning against the stonework, made a graceful wave of his hand to the table, and said:-	El mio anfitrión, que taba en pie a un llau d’una gran chimenea, abangáu contra la piedra, fixo un xestu graciosu cola so mano apuntando pa la mesa, y dixo:
They must go out.	Teníen de salir.
Are you Good, or Evil?	¿Ye bueno o ye malo?
It is the Taylor series of the natural logarithm at Template:Nowrap beginz = 1Template:Nowrap end.	Esta ye la serie de Taylor del llogaritmu natural en Plantía:Nowrap beginz = 1Plantía:Nowrap end.
They forced his first son Fusu to commit suicide, stripped the command of troops from Meng Tian, a loyal supporter of Fusu, and killed his family.	Obligaron al so primer fíu Fusu a suicidase, arrampuñaron el mandatu sobre les tropes a Meng Tian -- un partidariu lleal de Fusu -- y mataron tamién a la familia de Meng.
for Best Supporting Actor in 1994 for his role as Lt. Dan Taylor in Forrest Gump.	Foi nomáu al Óscar como meyor actor de repartu en 1994 pol so papel como'l teniente Dan Taylor en Forrest Gump.
And he bade Me lift up My voice between earth and heaven...”	Y Él ordenóme qu'alzara la voz ente'l cielu y la tierra (.. )".
He used a two-prong strategy: in the South, which most had tacitly conceded to Alabama's George Wallace, Carter ran as a moderate favorite son.	Utilizó una estratexa de dos frentes: Nel sur, nel que la mayoría aceptara tácitamente a George Wallace de Alabama, Carter presentóse como un fíu predilectu de calter moderáu.
It is the commercial and financial centre of country.	Ye'l centru financieru y comercial del país.
It was founded in 1964 with the intention of the independence of Galicia and its transformation into a socialist state.	Foi fundáu en 1964 teniendo como aspiración la independencia de Galicia y la so tresformación nun Estáu socialista .
A researcher says that the disease appeared in Haskell County, Kansas in January of 1918.	Un investigador asegura que la enfermedá apaeció nel Condáu de Haskell, Kansas en xineru de 1918.
Here he first received his early education at the Institute of Martinus Herman van Doorn.	Recibió la so educación primaria nel Institutu de Martinnus Herman van Doorn.
Speculation from analysts was that one of the studios, most likely UA, would be sold to fund the other's buy-back of stock to take that studio private, expected to be MGM.	La especulación de los analistes foi qu'unu de los estudios, probablemente UA, sería vendíu pa financiar la compra d'acciones del otru (MGM) pa tomar esi estudiu en priváu.
In A.D. 301, Armenia became the first Christian nation.	Nel so pontificáu, en 301, Armenia convirtióse na primer nación oficialmente cristiana de la historia.
We take in a verb with a full analysis, but only output a partial analysis (lemma + verb tag + tense tag).	Garramos el verbu col analís completu, pero la salida ye un analís parcial (lema + etiqueta verbu + etiqueta tiempu).
My first job was in an art gallery.	El so primer trabayu foi nuna galería d'arte.
Michael David Rapaport (born March 20, 1970) is an American actor, director and comedian.	Michael David Rapaport (20 de marzu de 1970) ye un actor, comediante y direutor estaunidense.
The lack of a specialized Degree in the field of labor would make it impossible to meet this requirements and would difficult the contuining existence of said profession.	La falta d'un títulu especializáu en materia llaboral fadría imposible'l cumplimientu d'esta esixencia y enzancaría la subsistencia de dicha oficiu
George Roger Waters (Surrey, United Kingdom, September 6, 1943), better known as Roger Waters , is a British musician, composer and activist.	George Roger Waters (Surrey, Reinu Xuníu, 6 de setiembre de 1943), más conocíu como Roger Waters, ye un músicu y compositor británicu.
The moment was super emotional.	El momentu foi d'una enorme emotividá.
ASCII (American Standard Code for Information Interchange), is a character encoding based on the English alphabet.	ASCII (American Standard Code for Information Interchange, Códigu Estándar Americanu pal Intercambiu d'Información) ye un códigu de caracteres basáu nel alfabetu llatín que s'emplega n'inglés.
At Princeton, the physicist Robert R. Wilson encouraged Feynman to participate in the Manhattan Project...the wartime U.S. Army project at Los Alamos developing the atomic bomb.	En Princeton, el físicu Robert R. Wilson animó a Feynman pa participar nel Proyectu Manhattan, proyectu del exércitu estaunidense mientres la guerra en Los Alamos sobre'l desenvolvimientu de la bomba atómica.
Lady Gaga has also stated that she is bisexual,[111] and has acknowledged that her song "Poker Face" is about fantasizing about a woman while being with a man.[112]	Lady Gaga indicó que ye bisexual[92] y declaró qu'el so cantar "Poker Face" trata de fantasiar con una muyer mientres se ta con un home.[93]
San Marino is an enclave of Italy, on the border between the regioni of Emilia-Romagna and Marche.	San Marino ye un enclave d'Italia, na llende ente les rexones d'Emilia-Romaña y Marques.
In a specific sense, "Hindustani" may be used to refer to the dialects and varieties used in common speech, in contrast with the standardized Hindi and Urdu.	Nun sentíu más específicu, Hindustaní puede ser usáu pa referise a los dialectos y variedaes utilizaes nel llinguaxe común, en contraste col hindi y el urdu estándar.
"In 1998, the Port Authority approved plans to privatize the World Trade Center.[106] In 2001, the Port Authority sought to lease the World Trade Center to a private entity.	En 1998, la Autoridá Portuaria aprobó planes pa privatizar el World Trade Center.[114] En 2001, l'Autoridá Portuaria buscó arrendar el World Trade Center a una entidá privada.
Arminius, Germanic leader who slaughtered three Roman legions at the Battle of the Teutoburg Forest.	Arminiu, líder xermanu qu'arrasó a tres llexones romanes na Batalla del monte Teutoburg
As Taiwan's business, financial, and technology hub, Taipei has been at the center of rapid economic development in the country and has now become one of the global cities in technology and electronics.[40] This development is part of the so-called Taiwan Miracle which has seen dramatic growth in the city following foreign direct investment in the 1960s.	Como la capital de Taiwán, Taipéi foi'l centru d'un rápidu desenvolvimientu económicu nel país y agora convirtióse nuna de les ciudaes globales na producción d'alta tecnoloxía y los sos componentes.[13] Esto ye parte del llamáu milagru taiwanés, que rexistró una crecedera espectacular na ciudá tres la inversión estranxera directa na década de 1960.
She was the first Portuguese woman to receive the most important Portuguese language literary award, the Camões Prize, in 1999.	Foi la primer muyer portuguesa que recibió'l más importante galardón lliterariu de la llingua portuguesa, el Premiu Camões, en 1999.
Historically his importance is immense.	La so importancia histórica ye enorme.
1923 » Daniel Carleton Gajdusek, American virologist, recipient of the Nobel Prize in Physiology or Medicine († 2008)	1923 - Daniel Carleton Gajdusek, científicu norteamericanu, Premiu Nobel en Fisioloxía o Medicina († 2008)
Equity is justice, impartiality, and fairness.	La xusticia ye ética, equidad y honestidá.
Especially Germany is and historically has been for a long time the main trading partner of Austria, making it vulnerable for rapid changes in the German economy.	Alemaña foi históricamente'l principal sociu comercial d'Austria, lo que la fai vulnerable a la rápida evolución de la economía alemana.
As Blasé Pascal said “ The heart has reasons that reason knows not of”.	Dicía Pascal que'l corazón tien razones que la razón desconoz.
A similar grapefruit-sized globe made from two halves of an ostrich egg was found in 2012 and is believed to date from 1504.	Un globu del tamañu similar al d'un pomelu fechu a partir de los dos metaes d'un huevo d'avestruz foi atopáu en 2012 y créese que data de 1504.
The city of Paris is a major rail, highway and air-transport hub served mainly by two international airports, Paris-Charles de Gaulle and the Paris-Orly.	La ciudá ye un ñudu d'autopistes y de ferrocarriles, y tien dos aeropuertos internacionales: el Paris-Charles de Gaulle y el Paris-Orly.
The life of a pastor is not always easy.	La vida del pastor non ye fácil.
marriage: a community consisting of a master, a mistress, and two slaves, making in all two	matrimoniu: comunidá formada pur un ama,un ama y dous esclavos qu\'en total son dous
That amounts to about 37% of the total population.	Son casi'l 37% de la población.
The introduction to the ICF states that a variety of conceptual models has been proposed to understand and explain disability and functioning, which it seeks to integrate:	La introducción al CIF indica qu'una variedá de modelos conceptuales propúnxose pa entender y p'esplicar la discapacidá y el funcionamientu, qu'intenta integrar a ellos.
The most common pathways are air and water.	Ente los más comunes atópense l'aire y l'agua.
These three components can be related to each other forming different forms of love: intimacy + passion, passion + commitment, intimacy + commitment, etc.	Estos trés componentes pueden rellacionase ente sigo formando distintes formes d'amor: intimidá y pasión, pasión y compromisu, intimidá y compromisu, etc.
Sea ice, shown here in Nunavut, in northern Canada, reflects more sunshine, while open ocean absorbs more, accelerating melting.	El xelu marino, que s'amuesa equí en Nunavut (norte de Canadá), reflexa más lluz solar, ente que'l mar abiertu absuerbe más, acelerando'l derretimiento.
Both the referee and the ring doctor have full authority to stop the fight.	Tanto l’árbitru como’l médicu del ring tienen autoridá dafechu pa parar el combate.
Des Moines became the state capital of Iowa.	Des Moines ye la capital del estáu estaunidense d'Iowa.
A star is a self-gravitating sphere of plasma in hydrostatic equilibrium that generates energy in its interior through the process of nuclear fusion.	Una estrella ye una esfera de plasma autogravitante, n'equilibriu hidrostáticu, que xenera enerxía nel so interior per aciu de reaiciones termonucleares.
As in the rally, the pilots start separated by several seconds, so that the pilot faces the clock and does not need to advance rivals.	Al igual que nel rally, los pilotos llarguen separaos ente sigo per dellos segundos, de manera que'l pilotu enfrentar al reló y nun precisa adelantrar rivales.
The massive so-called Alexander Sarcophagus found in Sided in modern Lebanon, was probably made there at the tart of the period by expatriate Greek artists for a Hellenized Persian governor.	El nomáu sarcófagu d'Alexandru, alcontráu en Sidón (Líbanu), foi probablemente fecho ellí al entamu d'esti periodu por artistes griegos expatriaos por encargu d'un gobernador persa.
Their lifelong friendship is documented in numerous letters they exchanged from August 1872.	La gran amistá ente ellos ta documentada nes numberoses cartes que s'intercambiaron dende agostu de 1872.
Hume's role is not to be overstated, of course; it was his countryman Francis Hutcheson who coined the utilitarian slogan "greatest happiness for the greatest numbers".	El papel de Hume, sicasí, nun debe sobreestimarse; foi Francis Hutcheson el qu'acuñó'l lema del utilitarismu: «la mayor felicidá pal mayor númberu».
He developed his artistic work over more than seventy years between Florence and Rome, which was where his great patrons lived, the Medici family of Florence and the different Roman potatoes.	Desendolco'l so llabor artísticu a lo llargo de más de setenta años ente Florencia y Roma, que yera onde vivíen les sos grandes mecenes, la familia Médicis de Florencia y dellos papes de la Ilesia Católica.
East Timor gained independence in 2002 from Indonesia.	Timor Oriental axuntóse a ellos nel 2002 dempués d'independizase d'Indonesia.
The University of Ulster	La Universidá del Ulster
Bendix's other well-known movie roles include his portrayal of Babe Ruth in The Babe Ruth Story (1948) and Sir Sagramore opposite Bing Crosby in A Connecticut Yankee in King Arthur's Court (1949), in which he took part in the trio, "Busy Doing Nothing".	Otros papeles bien conocíos de Bendix son la so actuación como'l xugador de béisbol Babe Ruth en The Babe Ruth Story (1948), y como Sir Sagramore en A Connecticut Yankee in King Arthur's Court (1949), filme nel que trabayó con Bing Crosby y nel cual intervieno na interpretación de la famosa tema "Busy Doing Nothing".
He was drafted by the Kansas City Royals baseball team in 1979 amateur draft, but decided to play college football instead.	Foi escoyíu polos Reales de Kansas City nel draft amateur de 1979 pa xugar béisbol pero decidió asistir a la universidá y participar nel fútbol americano escolín.
A year after graduation, he returned to New York to work with E. L. Thorndike at Columbia, where he became interested in research on human sexuality.	Un añu dempués de la so graduación, volvió a Nueva York pa trabayar con Edward Thorndike na Universidá de Columbia, onde empezó a interesase na investigación de la sexualidá humana.
German is the official and predominantly spoken language in Germany.	L'alemán ye l'oficial y principal idioma faláu n'Alemaña.
The following year, Palance was nominated for an Oscar for his role as the hired gunfighter Jack Wilson in Shane.	L'añu siguiente Palance foi nuevamente nomináu a los Oscar, pol so papel como'l pistoleru sanguinariu Jack Wilson en Shane.
QRpedia is a mobile Web based system which uses QR codes to deliver Wikipedia articles to users, in their preferred language.	QRpedia ye un sistema web pa preseos móviles qu'utiliza los códigos QR p'amosar artículos de la Wikipedia a los usuarios nel so idioma preferíu.
It cost him 4,000 euros.	Ta dotáu con 4.000 euros.
Mann won the 1929 Nobel Prize in Literature "principally for his great novel, ‘Buddenbrooks’ (1901), which has steadily won increased recognition as one of the classic works of contemporary literature."	Ganó'l Premiu Nobel de Lliteratura en 1929 principalmente «pola su gran novela, Los Buddenbrook, que mereció un reconocimientu constantemente incrementáu como una de les obres clásiques de la lliteratura contemporáneo».
Basil won several battles in Syria, relieving Aleppo, taking over the Orontes valley, and raiding further south.	Basilio ganó distintes batalles en Siria, lliberando Alepo, tomando'l valle del Orontes, y siguiendo les sos incursiones escontra'l sur.
Elba is a DJ under the moniker DJ Big Driis / Big Driis the Londoner, and a hip-hop soul recording artist.	Elba ye tamién un DJ -conocíu como DJ Big Driis / Big Driis the Londoner- y un cantante de Hip hop y soul.[1]
Since 1606 the saltire has also formed part of the design of the Union Flag.	Dende 1606 la Saltire tamién tien formao parte del sideñu de la bandera de la Xunión.
Stained glass depiction of the first vision of Joseph Smith, Jr., completed in 1913 by an unknown artist (Museum of Church History and Art).	Vidriera representando la Primera Visión de Joseph Smith (fíu), en 1913 por un artista desconocíu (Muséu d'Hestoria y Arte de la Ilesia).
That is why in his altar should be a perennial fire.	Ye por ello que nel so altar tenía d'haber un fueu perenne.
In the Western massif or Cornión, so called because of the horn shape that its silhouette offers when seen from the west, the Santa Peña stands out, which with its 2596 m of altitude exceeds 110 m at the next top of this massif, the Torre of Santa María or Santa tower of Enol.	Nel Macizu Central o Cornión, nomáu asina pola forma de cuernu qu'ufre la so silueta al endilgalu dende l'oeste, sobresal sobremanera la Peña Santa, que colos sos 2.596 metros d'altor supera en 110 a la siguiente cima d'esti Macizu, la Torre de Santa María o Torre Santa d'Enol.
Fincher is an executive producer of the Netflix television series House of Cards , of which he also directed the first two episodes.	Fincher ye productor executivu de la serie de televisión de Netflix House of Cards; tamién dirixió los dos primeros episodios.
In March, 1911, he was posted to the Kriegsschule at Dantzig.	En marzu de 1911 foi treslladáu a la Kriegsschule (escuela de guerra) de Danzig.
Satyajit Ray's ancestry can be traced back for at least ten generations.[1] Ray's grandfather, Upendrakishore Ray Chowdhury was a writer, illustrator, philosopher, publisher, amateur astronomer and a leader of the Brahmo Samaj, a religious and social movement in nineteenth century Bengal.	La llinia xenealóxica de Satyajit Ray puede siguise mientres siquier diez generaciones.[2] El so güelu, Upendrakishore Raychowdhury, foi ilustrador, escritor, editor, filósofu, astrónomu aficionáu y tamién líder del Brahmo Samaj, movimientu social y relixosu de la Bengala del sieglu diecinueve.
24th of October has been celebrated as United Nations Day since 1948.	El 24 d'ochobre celebróse como Día de les Naciones Xuníes dende 1948.
George Wallace moved aside after being confronted by federal marshals, Deputy Attorney General Nicholas Katzenbach and the Alabama National Guard.	George Wallace namái venció y estremóse cuando foi riquíu polos alguaciles federales, el Fiscal Xeneral Nicholas Katzenbach y la Guardia Nacional de Alabama.
4th Prize	Cuartu premiu
It allows PC gamers to enjoy games for these two consoles in full HD (1080p) with several enhancements: compatibility with all PC controllers, turbo speed, networked multiplayer, and even more!	Permíte-y al xugador esfrutar colos xuegos d'estes consoles en full HD (1080p) con abondos ameyoramientos: compatibilidá con tolos mandos de PC, velocidá turbo, multixugador en llinia, ¡y milenta más!
When the swordsman stands against his opponent, he cannot think of the opponent, nor of himself, nor of his enemy’s sword movements.	Cuando'l espadachín enfrentar al so oponente, nun piensa nel oponente o en sí mesmu, nin nos movimientos de la espada del oponente.
Mr. Emilio Botín also promoted the creation of the program of Scholarships Santander-CRUE-CEPYME, born during the 2008-2009 academic year, and which has offered more than 12,500 university students the chance to go on paid professional internships in any of the participating small and medium enterprises, and, therefore, facilitate their entrance into the job market with a success rate of more than 41%.	D. Emilio Botín tamién apostó pola creación del programa de Beques Santander-CRUE-CEPYME, que nació nel cursu 2008/2009 y qu'ufiertó a más de 12.500 estudiantes universitarios la posibilidá de realizar práctiques profesionales remuneradas en cualesquier de les PYME's participantes, y, por ello, facilitar el so insertamientu llaboral, que la so tasa d'ésitu superó'l 41 %.
Built by the Port Authority of New York and New Jersey with commercial loan the intention of spurring economic development in the Center.	Construyíu pola autoridá portuaria de Nueva York y Nueva Xerséi col enfotu de espolear el desenvolvimientu económicu nel Centru.
Edinburgh, the country’s capital and second largest city, is one of Europe‘s largest financial centres.[12] Edinburgh was the hub of the Scottish Enlightenment of the 18th century, which transformed Scotland into one of the commercial, intellectual and industrial powerhouses of Europe.	Edimburgu, la capital del país y segunda mayor ciudá d'Escocia, ye un de los mayores centros financieros d'Europa.[5] Foi el centru del Illuminismu Escocés nel sieglu XVIII, que vio a Escocia convertise nuna de les más poderoses cases d'Europa no que cinca al comerciu, inteleutualismu y la industria.
The chemical groups carried include the hydride ion (H-) carried by NAD or NADP+, the phosphate group carried by adenosine triphosphate, the acetyl group carried by coenzyme A, formyl, methenyl or methyl groups carried by folic acid and the methyl group carried by S-adenosylmethionine.	Los grupos químicos intercambiaos inclúin el ion hidruru (H-) tresportáu por NAD o NADP+, el grupu fosfatu tresportáu pol ATP, el grupu acetilu tresportáu pola coenzima A, los grupos formil, metenil o metil tresportaos pol acedu fólico y el grupu metil tresportáu pola S-Adenosil metionina.
In 1989, Merkel got involved in the growing democracy movement after the fall of the Berlin Wall, joining the new party Democratic Awakening.	En 1989 Merkel sumar al creciente movimientu democráticu tres la cayida del Muriu de Berlín y xunióse al nuevu partíu Demokratischer Aufbruch.
On November 27, 2004, those relics (along with the remains of John Chrysostom), were returned to Istanbul by Pope John Paul II, with the Vatican retaining a small portion of each.	El 27 de payares de 2004, eses reliquies, xuntu coles de Juan Crisóstomo, fueron devueltes a Istambul pol papa Xuan Pablu II, calteniendo'l Vaticanu una pequeña porción de dambes.
You are not the reporter or subscriber of this problem report, or the report is a duplicate or already closed. Please create a new report using "apport-bug".	Nun yes l'informador o soscritor d'esti informe de problemes, o l'informe ye un duplicáu o yá ta zarráu. Crea un informe nuevu usando «apport-bug».
%1 is damaged and may not be playable.	% 1 ta toriáu y nun se puede reproducir
After serving in the army's Royal Corps of Signals, he completed university in 1947, and was a lecturer in English at the University of Wales Swansea (1948–61), and Cambridge (1961–63).	Depués de sirvir nel Cuerpu Real de Señales na Segunda Guerra Mundial, Amis completó los sos estudios universitarios en 1947 y foi caderalgu d'inglés na Universidá de Swansea en Gales (1948–61), y na Universidá de Cambridge (1961–63).
the Communist Party "	miembru Partíu Comunista "
In China, the traditional calendar is known as the "agricultural calendar" (Chinese pinyin: nónglì) while the Gregorian calendar is known as the "common calendar" (gōnglì) or "Western calendar" .	Na China, el calendariu tradicional ye conocíu como'l "calendariu agrícola" (農曆 nónglì, 农历), mientres que'l calendariu gregorianu ye'l "calendariu estándar" (公曆 gōnglì, 公历), o "calendariu occidental" (西曆 xīlì, 西历).
Radó argued that there is no biological bisexuality in humans.[46]	Rado argumentó que nun hai bisexualidá biolóxica en seres humanos.[54]
In 1930, Moorehead married actor John Griffith Lee; they divorced in 1952.	Moorehead casóse col actor John Griffith Lee en 1930; divorcióse en 1952.
The largest known primary reserves are in the Bushveld Igneous Complex in South Africa,[44] though the large copper–nickel deposits near Norilsk in Russia, and the Sudbury Basin in Canada are also significant sources of osmium.	La reserva primaria d'iridiu más grande conocida ye la del complexu ígneu Bushveld en Sudáfrica,[44] anque los grandes depósitos de cobre-níquel cerca de Norilsk, en Rusia, y la cuenca de Sudbury en Canadá[9] tamién son importantes fontes d'iridiu.
Christopher Nash "Chris" Elliott (born May 31, 1960) is an American actor, comedian and writer.	Christopher Nash "Chris" Elliott (n. el 31 de mayu de 1960) ye un actor, comediante, y escritor d'Estaos Xuníos.
The song was aired on Disney Channel on September 12, 2008.[26] She also recorded a song called "Hero in Me" for the Disney Channel Original Movie, Dadnapped.	El cantar salió al aire en Disney Channel el 12 de setiembre del 2008.[16] Osment tamién grabó un cantar llamáu "Hero in Me" pola so película de Disney Channel, Dadnapped.
Bushy Park is the second-largest of the Royal Parks of London.	El Bushy Park ye'l segundu parque más grande de los Parques Reales de Londres.
Her mother, Mary Elizabeth "Betty" (née Reese), is from Harriman, Tennessee, has a Ph.D. in pediatric nursing, and works as a professor of nursing at Vanderbilt University.	La so madre, Mary Elizabeth "Betty" (de soltera Reese), nació en Harriman, Tennessee, tien un doctoráu n'enfermería pediátrica y trabaya como profesora d'enfermería na Universidá Vanderbilt.
"The Turkish Republic of Northern Cyprus (TRNC) (Turkish: Kuzey Kibris Türk Cumhuriyeti [KKTC]) is a de facto state, which controls the northern third of the island of Cyprus, in the eastern Mediterranean.	La República Turca de Xipre del Norte (en turcu: Kuzey Kıbrıs Türk Cumhuriyeti) ye un estáu de facto, que controla'l terciu norte de la islla de Xipre, nel Mediterraneu oriental.
Klushino was occupied in November 1941 during the German advance on Moscow and a German officer took over the Gagarin residence.	Klushino fora ocupáu en payares de 1941 dementres l'avance sobre Moscú, y foi nesa dómina na que un oficial ocupara la residencia de los Gagarin.
He held the Lucasian Chair of Mathematics at the University of Cambridge and spent the last ten years of his life at Florida State University.	Ocupó la Cátedra Lucasiana de matemátiques de la Universidá de Cambridge, magar pasó los últimos diez años de la so vida na Universidá Estatal de Florida.
New Jersey, U.S.A: John Wiley and Sons.	Nueva York, Estaos Xuníos: John Wiley and Sons.
The upperparts are reddish brown and heavily streaked with black or dark brown.	Les partes cimeres son marrón acoloratáu y fuertemente enllordiaes de negru o marrón escuro.
Two years later, under pressure from the Allies (especially France, desperate to open a new front), on August 14/27 1916, Romania joined the Allies, declaring war on Austria-Hungary.	Dos años depués, baxo la presión de los Aliaos (sobre too Francia, p’abrir un nuevu frente), xuniose a ellos nel 27 d’agostu de 1916, declarando-y la guerra a Austria-Hungría.
The corona is 10−12 times as dense as the photosphere, and so produces about one-millionth as much visible light.	La corona ye 10-12 vegaes tan trupa como la fotosfera, y polo tanto produz cerca d'un millonésimu de lluz visible.
Facebook is a social media platform developed by Mark Zuckerberg.	Facebook ye un sitiu web de baldre de redes sociales creáu por Mark Zuckerberg.
The style is derived from the Commedia dell'arte which employed a great deal of physical abuse and tumbling.	L'estilu deriva de la Commedia dell'arte qu'empleaba gran cantidá d'abusos físicos y cayíes.
This problem report is damaged and cannot be processed.	L'informe del problema ta frayáu y nun puede procesase.
Schneider has also appeared in numerous comedies starring his SNL comrade Adam Sandler, most recently on 2010's Grown Ups.	Schneider tamién apaeció en numberoses comedies protagonizada pol so compañeru Adam Sandler SNL, la más recién el de 2010, Los adultos.
They had a son, Stefan Rafael (1918â1972).	Con Dora tuvo un fíu, Stefan Raphaël (1918-1972).
She assumed creative control of her fourth studio album, In the Zone released in 2003, which yielded chart-topping singles "Me Against the Music", "Toxic" and "Everytime".	Esi mesmu añu asumió'l control creativu del so cuartu álbum, In the Zone, el que xeneró los ésitos «Me Against the Music», «Toxic» y «Everytime».
In December of 1793, he was arrested and imprisoned in Paris, then released in 1794.	N'avientu de 1793, foi arrestáu y encarceláu en París y lliberáu en 1794.
He won the Nobel Prize in 1929, "principally for his great novel, Buddenbrooks, which has won steadily increased recognition as one of the classic works of contemporary literature".	Ganó'l Premiu Nobel de Lliteratura en 1929 principalmente «pola su gran novela, Los Buddenbrook, que mereció un reconocimientu constantemente incrementáu como una de les obres clásiques de la lliteratura contemporáneo».
In 2007, she was selected by People and the entertainment news program Access Hollywood as one of the year’s best-dressed female stars.	En 2007, foi escoyida pola xente y l'entretenimientu noticies programa Access Hollywood como unu de les estrelles femenines meyores vistíos del añu.
Her son was eight years old when he began doing small Shakespearean roles.	El so fíu tenía ocho años cuando empezó a faer pequeños papeles de Shakespeare.[2]
Find it in the Library	Troba'l a la biblioteca
Or are you the opposite?	¿O ye al revés?
Woolf's fiction is also studied for its insight into shell shock, war, class, and modern British society.	La ficción de Woolf tamién s'estudia pola so penetración en temes como neurosis de guerra, guerra, clase y la moderna sociedá británica.
Forty thousand blacks, roughly one-fifth of their 1900 population, left for better opportunities.[28]	Cuarenta mil negros, aprosimao un quintu del so 1900 población, dexáu pa oportunidaes meyores.[29]
By Catherine Howard (married Oatlands Palace 28 July 1540; annulled 23 November 1541) beheaded on 13 February 1542	Con Catalina Howard (casáu'l 28 de xunetu de 1540 anuláu en 1541; foi executada'l 13 de febreru de 1542)
The Smallpox was an infectious disease, contagious, severe caused by the Variola virus which in some cases could be fatal.	La viruela foi una enfermedá infeiciosa grave, contaxosa, causada pol Variola virus, qu'en dellos casos podía causar la muerte.
1933 Albert Einstein, fled Nazi Germany and moved to the U.S.A.	1933 - Albert Einstein, fuxe de l'Alemaña nazi, treslladándose a los Estaos Uníos.
Israel, Jonathan I. (1998), The Dutch Republic.	(n'inglés) Jonathan I. Israel, The Dutch Republic.
Likewise, experts highlight the potential impact of the Campus of International Excellence on a pattern of social and territorial development that has helped transform the role of the University of Oviedo in Asturias, and that can also contribute to the economic growth of the region and the country.	Los espertos valoren tamién l'impactu potencial del Campus d'Excelencia Internacional nun modelu de desenvolvimientu social y territorial, qu'incidió nel tresformamientu de la posición de la Universidá d'Uviéu n'Asturies, y que puede contribuyir a la crecedera económica de la rexón y del país.
Folate is important for cells and tissues that rapidly divide.[46] Cancer cells divide rapidly, and drugs that interfere with folate metabolism are used to treat cancer.	El folato ye importante por que les célules y texíos estrémense rápido.[3] Les célules canceríxenes estrémense rápido, y les drogues qu'interfieren col metabolismu del folato son usaes pal tratamientu del cáncer.
