In Ancient Greece, Olympia was sacred ground to the Greeks.	Olympia bola pre starých Grékov posvätným územím.
Blast zombies away with a variety of weapons!... Play game Added: 06.01.2008	Zastrel zombie s rôznymi zbraňami!... Hrať hru Pridané: 06.01.2008
We are convinced that initiatives such as Business Lease Club will help us to start professional and public discourse on the future of ecomobility and automotive sector in Slovakia,” stressesIvana Katančíkov.	Veríme, že iniciatívy ako je Business Lease Club, pomôžu naštartovať odbornú i verejnú debatu o budúcnosti ekomobility a motorizmu na Slovensku,” zdôraznila.
Regions All countries | Chat Botswana	Regióny Všetky krajiny | Chat Albánsko
Elements looking to destabilise Pakistan should not be allowed to succeed.	Nemalo by sa dopustiť, aby uspeli prvky usilujúce sa o destabilizáciu Pakistanu.
In the first 48 hours after the video debuted on YouTube, 12,000 people signed up for his subscription service.	V prvých 48 hodinách ich debutovania o videu v službe YouTube sa na službu zaregistrovalo viac ako 12 000 ľudí.
Mary Ann Shaffer has worked as an editor, a librarian, and in bookshops.	Mary Ann Shafferová pracovala ako redaktorka, knihovníčka, bola zamestnaná v niekoľkých kníhkupectvách.
She explained that she came across such women while working on the MAC AIDS Fund, and that the song is not about freedom, but rather the assurance that Gaga understood their feelings.	Tvrdí, že na také ženy narazila pri práci na MAC AIDS Fund a že pieseň nie je o slobode, ale skôr o uistení, že Gaga chápe ich pocity.
The active ingredient on the glove is a photosensitizer which generates singlet oxygen when exposed to light.	Účinnou látkou na rukaviciach je fotosensitizátor, ktorý pri vystavení svetlu generuje singletový kyslík.
We leave tonight.	Odchádzame dnes v noci.
For this purpose the Commission may, of its own accord and by its own means, initiate and carry out inquiries, verifications, inspections and audits.	S týmto cieľom Komisia môže z vlastnej iniciatívy a vlastnými prostriedkami iniciovať a vykonávať prieskumy, overovania, inšpekcie a audity.
The role of producer organisations is to plan fishing activity to obtain the best price possible in negotiations with buyers.	Úlohou organizácií výrobcov je plánovať rybolov takým spôsobom, aby sa v rámci rokovaní s nákupcami podarilo dohodnúť čo najlepšiu cenu.
Poor Girl(930)	Chudobné Dievča(930)
Rose12r uploaded a new profile picture:	Rose12r nahral novú profilovú fotografiu:
This scanner contains the same features as the Emsisoft Emergency Kit Scanner, but without the graphical interface.	Tento skener obsahuje rovnaké funkcie ako Emsisoft Emergency Kit skenera, ale bez grafického rozhrania.
For some people, it's personal.	Pre niektorých je to osobné.
Psalmus 85 for mixed choir and schola (2010)	Psalmus 85 pre miešaný zbor a schólu (2010)
This power is the best proof.	Táto sila je najlepší dôkaz.
Applications of Satellite Communications	Aplikácie satelitnej komunikácie
The next day, a local church became an improvised morgue, with the dead bodies -- some still dripping blood -- lined up in pews and doctors performing autopsies.	Nasledujúci deň sa z miestneho kostola stala improvizovaná márnica, kde sa mŕtve telá – z ktorých ešte stále kvapkala krv – zoradili na laviciach a lekári vykonávali pitvu.
The main topics of the articles are Google Adwords and advertising in social networks.	Hlavnými témami článkov sú Google Adwords a reklama v sociálnych sieťach.
He did not realize that it is also hard work, because you have to be clever to get a special mechanism directly to the place where lies the hamburger.	Neuvedomil si, že je tiež ťažká práca, pretože musíte byť chytrý, aby si špeciálny mechanizmus priamo na miesto, kde leží hamburger.
The product with the following milk-fat contents:	Výrobok s týmito obsahmi mliečneho tuku:
Romanesque parishes, monasteries, abbeys and castles will seem like timeless places where past, present and future merge and merge, creating an almost surreal atmosphere, suspended in a dimension unknown to us.	Romantické farnosti, kláštory, kláštory a hrady sa budú javiť ako nadčasové miesta, kde sa minulosť, súčasnosť a budúcnosť zlúčia a zlúčia, vytvárajú takmer surrealistickú atmosféru pozastavenú v neznámej dimenzii.
It is more elegant and hopefully offers better visibility.	Je to elegantnejšie a snáď aj ponúkne lepší výhľad.
Your product quality will improve.	Kvalita vašich výrobkov stúpne.
Most of the time, there won't be anything in this column.	Väčšinou v tomto stĺpci nebude nič.
This is another violent crime.	Toto je ďalí násilný zločin.
Specific measures to continuously improve environmental protection are for instance: Measures to conserve energy, e.g.	Konkrétnymi opatreniami na neustále zlepšovanie ochrany životného prostredia sú napríklad: Opatrenia zamerané na šetrenie energie, napr.
50", Edge LED Backlight, Ultra HD, Autostereoscopic 3D BDL5071VS/00 Find similar products Overview Specifications	50" (127 cm), LED podsvietenie okrajov, Ultra HD, Autostereoskopické 3D zobrazenie BDL5071VS/00 Nájsť podobné výrobky Prehľad Špecifikácie
encouraging workers to take up jobs in other EU countries in order to fill vacancies and meet the needs for special skills;	Podpora pracovníkov, aby sa zamestnali v iných krajinách EÚ s cieľom obsadiť voľné miesta a naplniť dopyt po osobitných zručnostiach.
Metric tonne of 1,000 kilograms (2,204.68 pounds)	Metrická tona 1,000 kilogramov (2,204.68 libier)
You can obtain more details of the protection given to your Personal Data when it is transferred outside Europe (including a copy of the standard data protection clauses which we have entered into with recipients of your Personal Data) by contacting us as described in section 11 below.	Ďalšie podrobnosti o ochrane poskytnutej vašim osobným údajom počas prenosu mimo Európy (vrátane kópie štandardných doložiek o ochrane údajov, ktoré sme uzavreli s príjemcami vašich osobných údajov) môžete získať ak nás kontaktujete spôsobom popísaným v odseku 10 nižšie .
They are suitable for all weather and occasions.	Sú vhodné do každého počasia a na všetky príležitosti.
All employees must always keep their personal interests separate from those of the company.	Všetci zamestnanci musia vždy oddeľovať svoje osobné záujmy od záujmov spoločnosti.
They stayed in Los Angeles and worked there as producers, writing and producing songs for performers including Britney Spears, Boyz II Men and TLC,[11] but later moved back to Dublin, where they recruited drummer Glen Power for their new band the Script.	Zostali v Los Angeles a pracovali tam ako producenti, písali a produkovali piesne pre umelcov vrátane Britney Spears, Boyz II Men a TLC, ale neskôr sa presťahovali späť do Dublinu, kde pribudol bubeník Glen Power pre svoju novú kapelu The Script .
the fee for the vessel’s provisional monthly quota requested by the owner will be paid before the beginning of the fishing activity or the 1st day of each month;	povinný poplatok za naplánovanú mesačnú kvótu plavidla, ktorú požaduje majiteľ plavidla, sa musí uhradiť pred začiatkom rybolovných činností, a to k 1. dňu každého mesiaca,
→ What is it that holds back the Antichrist, so that he can not emerge on the world stage until the time is right?	→ Čo je to, že zadržiava Antikrista, takže sa nemôže objaviť na svetovom javisku, kým je ten správny čas?
Before starting to mow grass, remove all foreign objects from the territory: garden furniture, decorative objects, garden tools, children's toys, as well as garbage (branches, stones).	Pred začatím kosenia trávy odstráňte z územia všetky cudzie predmety: záhradný nábytok, dekoratívne predmety, záhradné náradie, detské hračky, ako aj odpadky (konáre, kamene).
As he sits on the town’s seawall eating one of the rice balls, he notices a young girl beside him who introduces herself as Kamio Misuzu – a sincere yet clumsy girl who is eager to become friends with him.	Ako on sedí na mestskej seawall jesť jeden z ryže gulí, on si všimne mladé dievča vedľaneho, ktorá sa predstaví ako Misuzu Kami-úprimný ešte neohrabaná dievča, ktorá túži stať sa priateľmi s ním.
- How did you get on this channel?	- Ako ste sa dostal k tomuto kanálu?
Share the pronunciation of aka in Icelandic: Facebook Twitter	Zdieľajte výslovnosť aka v Islandčina: Facebook Twitter
Tenley and Birdie are from two very different worlds, but fate has bound them together in a way time cannot erase.	Tenley a Birdie žijú v úplne odlišných svetoch, ale osud ich spojil a toto zvláštne spojenie dokáže preklenúť aj čas.
All items of video and audio equipment are hidden behind the doors of the cabinets.	Všetky prvky video a audio zariadení sú skryté za dverami skriniek.
The new technology delivers higher performance, about which calls for a higher number of cores and higher capacity LLC.	Nová technológia prináša vyšší výkon, o ktorý sa zasadzuje vyšší počet jadier a vyššia kapacita LLC.
National Forest Administration Romsilva, Romania | Green Mountain English Italian	Národná lesná správa Romsilva, Rumunsko | Green Mountain English Italian
All campsites in Turkey in our Turkey camping directory are organized into following categories:	Všetky kempingy v krajine Turkey v našom zozname kempingov sú organizovaná do nasledujúcich kategórií:
He was placed in a hospital where he lived for over 20 years.	Bol umiestnený v nemocnici, kde žil viac ako 20 rokov.
That means there's no waiting for chemical reactions to take place, no need to use reagents that can run out and no need to be an expert to get actionable information.	To znamená, že netreba čakať na uskutočnenie chemických reakcií, netreba používať činidlá, ktoré sa môžu minúť a netreba experta, aby sme získali potrebné informácie.
I know you feel you can’t do this.	Viem, že môžeš cítiť to, že to nezvládneš.
Colonel,... may I speak to you for a moment?	Plukovník. Môžem s Vami na chvíľu hovoriť?
I loved houses, and buildings.	Páčili sa mi staré domčeky a budovy.
Toner is applied after using a dedicated cleanser such as Eucerin DERMOPURE Cleansing Gel and prepares skin for moisturiser and other care products. Eucerin DERMOPURE Toner is particularly suitable for oily and blemish-prone skin as it feels refreshing but, as it contains alcohol, we do not recommend that you use it during medical acne-treatment.	Pleťová voda sa používa po špeciálnom pleťovom čistiacom produkte, ako napr. Eucerin DERMOPURE Čistiaci gél a pripravuje pleť pre ďalšiu starostlivosť. Eucerin DERMOPURE Čistiaca pleťová voda je obzvlášť vhodná pre mastnú a problematickú pleť, keďže ju príjemne osviežuje. Obsahuje však alkohol, preto ju neodporúčame používať pri užívaní liekov na akné.
Why use Hotels.com to book your West Hartford accommodation?	Prečo by ste si mali rezervovať ubytovanie v destinácii West Hartford na stránke Hotels.com?
constipation swelling (oedema) due to water retention.	zápcha opuch (edém) spôsobený zadržiavaním vody.
Once again, thank you very much - especially to the rapporteur, Ms Batzeli - for all the work done on this difficult dossier.	Ešte raz vám veľmi ďakujem - najmä spravodajkyni pani Batzeliovej - za celú prácu, ktorú ste odviedli pri tejto obťažnej záležitosti.
This way you can stimulate a bowel movement after a long sleep.	Týmto spôsobom môžete stimulovať pohyb čriev po dlhom spánku.
Draghi: The global economy is expected to continue its recovery	Draghi: Svetová ekonomika bude pokračovať v zotavovaní
Of course, using only amulets you do not change the feng shui apartments, houses, office, but will attract a lot of good energy and good people who will change your life for the better.	Samozrejme len za použitia amuletov nemusíte zmeniť feng shui byty, domy, kancelárie, ale priláka veľa dobrých energie a dobrých ľudí, ktorí zmenia váš život k lepšiemu.
Time for consideration of the application should not exceed three weeks.	Čas na posúdenie žiadosti by nemal presiahnuť tri týždne.
The original iPhone X is now $200 cheaper.	Pôvodný iPhone X je teraz lacnejší.
"The investigation must continue to establish the precise circumstances" of Raphael's death, De Block said, who underlined the country's strict rules on vaping.	"Musí pokračovať vyšetrovanie, aby sa zistili presné okolnosti" Raphaëlovej smrti, dodala De Blocková, ktorá upozornila na prísne belgické predpisy pre vaping.
Rainfall is rare in this season.	Dážď v tejto sezóne je veľmi zriedkavý.
Brown rose to fame as a member of the girl group The Spice Girls, in which she was famously known as "Scary Spice".	Brown sa preslávila ako členka dievčenskej skupiny Spice Girls, v ktorom bola známa ako Scary Spice.
Drain the tomatoes thoroughly.	Paradajky dôkladne roztlačte.
More significant funding under Article 69 could lead to distortions of competition between producers and would mean further significant cuts in producers' single farm payment.	Vyššie financovanie podľa článku 69 by mohlo spôsobiť narušenie hospodárskej súťaže výrobcov a znamenalo by ďalšie významné krátenie platieb výrobcom v systéme jednotnej platby.
Well, you are a thief, without being innocent of many bloods, and mild infants, the children of the boyar Prince Ivan Semyonovich Prozorovsky, ordered, from the yard, to hang through the city wall by the legs. And besides this, he ordered death to be executed at the same time, but he gave to the Metropolitan, who did not take his tea from such great agony, for many sufferings and mutilation.	No, ste zlodej, bez toho, aby ste boli nevinní mnohými krvami, a mierne deti, deti bojarského princa Ivana Semjonoviča Prozorovského, nariadili, z dvora, aby viseli cez mestské hradby pri nohách. A okrem toho nariadil, aby bola v rovnakom čase popravená smrť, ale dal Metropolitelovi, ktorý nebral svoj čaj z takej veľkej utrpenia, pre mnoho utrpení a zmrzačenia.
The software allows to encrypt the incoming and outgoing traffic of VPN channel using the 128-bit key.	Tento softvér umožňuje šifrovať prichádzajúce a odchádzajúce prevádzku VPN kanála pomocou 128-bitového kľúča.
On the occasion of the official book presentation, at the Bratislava Carlton Hotel, the first NAPS honorary membership was awarded.	Pri príležitosti jej oficiálnej prezentácie bolo v bratislavskom Hoteli Carlton odovzdané aj prvé čestné členstvo v občianskom združení NAPS.
Evidence suggests that overall there is complementarity between the different programmes and initiatives.	Dôkazy naznačujú, že medzi rôznymi programami a iniciatívami existuje celková doplnkovosť.
Member States shall ensure that in the event of an emergency or in the aftermath of an accident, such designated authority has immediate access to the information required under this Directive.	Členské štáty zabezpečia, aby tento určený orgán mal v núdzovej situácii alebo v prípade nehody okamžitý prístup k informáciám požadovaným touto smernicou.
Endogenous and exogenous development potential in Slovak and Polish marginalized areas	Endogénny a exogénny potenciál rozvoja marginalizovaných oblastí na Slovensku a v Poľsku
The buildings can impede planes during takeoff because ordinarily planes can fly with only one engine, but they lack enough power to climb quickly over obstacles, whenever there is an engine failure.	Budovy môžu prekážať lietadlám počas vzletu, pretože lietadlá môžu lietať len s jedným motorom, ale nemajú dostatok energie na rýchle prekonávanie prekážok, keď dôjde k poruche motora.
Every single pattern of HAND PAINTED scarf is completely unique, original and expresses a desire for freedom and joy of life. One of the hand painted scarves named Souffle d'Angleterre, which was inspired by Czech painter František Kupka and his composition, Amorphous, was used to create the first ready to wear collection of printed silk scarves called VOYAGES DE LA SOIE.	Každý jeden vzor ručne maľovaných šatiek tzv. HAND PAINTED je úplne jedinečný a originálny, pričom vyjadruje túžbu po slobode a radosti zo života. Zo vzoru ručne maľovanej šatky Souffle d´Angleterre, inšpirovanej čekým maliarom Františkom Kupkom a jeho kompozíciou Amorfa, vznikla prvá kolekcia šatiek nazvaných VOYAGES DA LA SOIE.
After you remove that thing you’ll find that there’s nothing in the body over here.	Keď odstránite tú vec, zistíte, že v tele na tejto strane nie je nič.
Here are some methods that you can try to resolve this problem:	Tu sú niektoré postupy, ktoré sa môžete pokúsiť vyriešiť tento problém:
Purchasing your first home comes with many trials and tribulations. In the first year after closing there are many valuable lessons to be learned. Here are some things to think about as you begin the process of going from renting to buying.	Nákupu vašej prvej domov prichádza s mnohými skúšok a Súženie. V prvom roku po uzavretí existujú mnohé cenné ponaučenie. Tu sú niektoré veci premýšľať o tom, ako začnete proces bude z prenájmu k nákupu.
We have learned that the cyber-attack on Hillary Clinton’s campaign used the same tools and methods typical for two notorious Russian hackers’ groups: APT28 and APT29, also called Fancy Bear and Cozy Bear.	Dozvedeli sme sa, že pri kybernetickom útoku na kampaň Hillary Clintonovej boli použité rovnaké nástroje a spôsoby, aké sú charakteristické pre dve notoricky známe ruské hackerské skupiny: APT28 a APT29 nazývané aj Fancy Bear a Cozy Bear (toto sa ťažko prekladá, obe slová majú množstvo významov – Módny medveď a Vľúdny medveď).
There are 356 days left until the end of the year.	Do konca roka zostáva 356 dní.
Carton – Pramipexole Teva 0.7 mg tablets	Škatuľa – Pramipexol Teva 0,7 mg tablety
Bet-at-home is the licensed bookmaker based in Malta and Austria.	bet-at-home je licencovanou stávkovou spoločnosťou s pobočkami v Rakúsku a na Malte.
Improves logical thinking.	Zlepšovanie logického uvažovania.
The PD is the distance between YOUR pupils.	PD je vzdialenosť medzi žiakmi.
Lavillenie seemed more absorbed by the men’s 800m final, and strode over to the edge of the track to roar and clap for David Rudisha as he hurtled into the home straight.	Lavillenie sa zdalo viac absorbované 800m mužom finále a prešiel k okraju trate, aby sa pokušil a tlieskal sa s Davidom Rudishom, keď sa hnal do domácej roviny.
Erectile dysfunction, or ED, is the most common sex problem that men report to their doctor.	Erektilná dysfunkcia (ED) je najbežnejším sexuálnym problémom, ktorý muži hlásia svojmu lekárovi.
Thus hierarchy implies a triple bond: in the first place the bond with Christ and with the order given by Our Lord to his Church; then the bond with the other Pastors in the one communion of the Church; and lastly, the bond with the faithful who are entrusted to the individual, in the order of the Church.	Hierarchia teda vyjadruje trojitý zväzok: na prvom mieste je to zväzok s Kristom a rád darovaný Pánom svojej Cirkvi; potom je to zväzok s ostatnými pastiermi v jedinom spoločenstve s Cirkvou; a napokon zväzok s veriacimi, ktorí sú danému pastierovi zverení v rámci usporiadania Cirkvi.
Athenex’s Oncology Innovation Platform generates clinical candidates through an extensive understanding of kinases, including novel binding sites and human absorption biology, as well as through the application of Athenex’s proprietary research and selection processes in the lab.	Athenex's onkológia inovácia platformy generuje kandidátov pre klinickú prax cez rozsiahle pochopenie kináz, vrátane román väzobných miest, ľudskú absorpcie biológie a uplatňovania Athenex's proprietárne výskumu a výber procesov v laboratóriu.
“My supreme abode is not illuminated by the sun, moon, fire, or electricity.	„Moje zvrchované sídlo nie je ožiarené Slnkom ani Mesiacom, ohňom či elektrinou.
The most common side effects with Signifor (seen in more than 1 patient in 10) in patients with Cushing’s disease are hyperglycaemia (high blood sugar levels), diabetes, diarrhoea, abdominal pain (stomach ache), nausea (feeling sick), cholelithiasis (gallstones), injection site reactions, fatigue (tiredness) and increased blood levels of glycosylated haemoglobin (a substance which gives an indication of how well the blood glucose is controlled).	Najčastejšie vedľajšie účinky lieku Signifor (pozorované u viac ako 1 pacienta z 10) ) u pacientov s Cushingovou chorobou sú hyperglykémia (vysoká hladina cukru v krvi), cukrovka, hnačka, abdominálna bolesť (bolesť žalúdka), nauzea (pocit nevoľnosti), cholelitiáza (žlčníkové kamene), reakcie na mieste podania injekcie, únava a zvýšená hladina glykozylovaného hemoglobínu v krvi (látka, ktorá udáva, do akej miery je hladina glukózy v krvi kontrolovaná).
Finding and eliminating the cause	nájdenie a odstránenie príčin
These fantastic tablets have actually been long recognized as the most powerful suppressant and fat deposits burner to ever exist.	Tieto fantastické pilulky boli dlho uznal ako najviac vysoko účinné potlačenie a spaľovač tuku vkladov niekedy už existujúcich.
"Our movement is about replacing a failed and corrupt political establishment with a new government controlled by you, the American People.	“Naše hnutie má za cieľ nahradenie neúspešnej, skorumpovanej politickej elity novou vládou, ktorú budete riadiť vy, americký národ.
Plants whose life cycle begins in autumn develop into strong compact bushes.	Rastliny, ktorých životný cyklus začína na jeseň vyvinúť silné kompaktných kríkov.
ATLANTIS CONNECT uses NFC technology, incorporating a small microchip in the Atlantis product to communicate its story and/or technical characteristics through multimedia information (videos, product info, web pages, etc.).	ATLANTIS CONNECT využíva NFC technológiu, to znamená zabudovanie malého mikročipu do produktov Atlantis, ktorý sprostredkuje príbeh výrobku a/alebo technické údaje.
Search for hotels in Worongary	Vyhľadať hotely v meste Worongary
We found it so simple and easy to use.	Zistili sme, že je tak jednoduché a ľahké použitie.
The product comes with 2 weight pockets but the weights to fill them are not provided.	Výrobok sa dodáva s 2 vreckami na záťaž, ale závažie do nich nie je súčasťou dodávky.
“Do not pity the dead,Harry.	Neľutuj mŕtvych, Harry.
The Commission therefore suggests a strategy which sets a maximum level.	Komisia preto navrhuje stratégiu, ktorá stanoví ich maximálnu hladinu.
An aromatized wine which has been prepared from wine as referred to in paragraph 1(a), the characteristic taste of which is obtained by the use of cloves and/or cinnamon which must always be used together with other spices; this drink may be sweetened according to Article 3(a).	Aromatizované víno, ktoré sa vyrába podľa postupov uvedených v odseku 1 písm. a) a ktorého charakteristická chuť sa získava použitím klinčeka a/alebo škorice, ktoré sa vždy musia používať s inými koreninami; tento nápoj môže byť sladený v súlade s článkom 3 písm. a).
The Company may periodically make changes to the website.	Spoločnosť môže pravidelne meniť obsah tejto webovej stránky.
For these programs are also available technology Tomcat 5.5 servlet container only for 3€ / month.	K týmto programom je k dispozícii aj technológia Tomcat 5.5 servlet kontajner len za 3€ / mesačne.
Any individual or book exploring this subject is immediately attacked by hundreds of A.D.L. committees all over the country.	Ktorýkoľvek jednotlivec alebo kniha, odhaľujúci túto tému, sú okamžite napadnutí stovkami kancelárií ADL po celej krajine.
Touch is important	Dotyk je dôležitý
individual approach in any situation;	individuálny prístup v akejkoľvek situácií;
The Rothschild family’s activities date back to its first major business undertaking in the region, the acquisition of the Vítkovice Steelworks in 1842.	Pôsobenie rodiny Rothschild v regióne sa datuje k prvému významnému počinu, a to k získaniu Vítkovických železiarní v roku 1842.
Data isn’t very interesting—in fact it can be meaningless—until you do something with it.	Údaje nie je veľmi zaujímavý – v skutočnosti môže byť zmysel –, kým sa niečo s ním.
(c) impose quantitative restrictions on importations into the Union of fish, and fishery products made of or containing such fish, stemming from the stock of common interest and that had been caught under the control of the country allowing non-sustainable fishing;	(j) zaviesť kvantitatívne obmedzenia na dovoz rýb a z nich vyrobených produktov rybolovu alebo produktov rybolovu obsahujúcich takéto ryby, ktoré pochádzajú zo zásoby spoločného záujmu a ktoré boli ulovené pod kontrolou krajiny, ktorá umožňuje neudržateľný rybolov, do Únie;
Have you ever thought about learning to fly?	Uz si niekedy rozmyslal nad tym ze by si sa naucil lietat?
Here, the processing of your data in a third country may also occur in conjunction with engaging with service providers in the context of processing orders.	Súčasne môžu byť Vaše údaje spracovávané v tretej krajine, a to i v súvislosti so zapojením poskytovateľov služieb v rámci spracúvania objednávky.
To repeat what I have already said many times, my sincere congratulations to the Portuguese Presidency and I hope the forthcoming Slovene Presidency will continue on the same lines and develop what has been done.	Aby som zopakoval, čo som už niekoľkokrát povedal, úprimne gratulujem portugalskému predsedníctvu a dúfam, že nasledujúce slovinské predsedníctvo bude pokračovať v rovnakej línii a rozvíjať to, čo už bolo urobené.
This British historian and publicist was, similarly to Bjørnson, interested in the history of Slavic nations.	Tento britský historik a publicista sa rovnako ako Bjørnson zaoberal dejinami slovanských národov.
I was the creator of my own world.	Stala som sa tvorcom vlastného sveta.
We may update this cookie policy from time to time to reflect changes in technology and/or further legislation or our data use policies which may affect the way in which cookies are used by us and how you as a user can manage them.	Túto Politiku môžeme z času na čas zmeniť, aby sme zapracovali zmeny v technológii alebo legislatíve, ktoré ovplyvňujú spôsob, akým používame cookies a akým ich vy ako používateľ môžete spravovať.
Generality Neurodegenerative diseases constitute a set of pathologies characterized by an irreversible and progressive loss of neuronal cells in certain areas of the brain. The pathologies included in the group of neurodegenerative diseases are different and, for many of them, the causes of onset are still unclear	všeobecnosť Neurodegeneratívne ochorenia predstavujú súbor patológií charakterizovaných ireverzibilnou a progresívnou stratou neuronálnych buniek v určitých oblastiach mozgu. Patológie zahrnuté v skupine neurodegeneratívnych ochorení sú odlišné a pre mnohé z nich sú príčiny vzniku stále nejasné. Predpokladá sa však, že
Finally we eat.	Konečne ideme jesť.
Sales area Modern shopping	Predajná plocha Moderné nakupovanie
Fighter Gaming Desk 2, Red was mentioned in our Press Centre:	Fighter Gaming Desk 2, Red bol spomenutý v našom tlačovom stredisku:
Do you like to play Rolling Sky?	Máte radi hrajú Rolling neba?
A British dad was forced to choose between which of his two kids to save.	Jeden britský otec si musel vybrať, ktoré zo svojich dvoch detí zachráni.
System log - information on a user’s computer which is transmitted by the computer at every connection.	Systémový protokol - informácie obsiahnuté v počítači používateľa, ktoré sa pri každom pripojení prenášajú prostredníctvom počítača.
You can also use 10, 20 or 50 ml solution for injection, diluted in 200-300 ml of glucose or saline.	Môžete tiež použiť 10, 20 alebo 50 ml injekcie, zriediť 200-300 ml glukózy alebo fyziologického roztoku.
"We knew we had to score, to win you have to score goals.	„Vedeli sme, že musíme dať gól, pretože ak chcete vyhrať musíte dávať góly.
Leo ascendant Aquarius - The ascendant in a horoscope and characteristics podznaka	Leo stúpajúca Aquarius - ascendent v horoskope a charakteristiky podznaka
Want to talk to you about David.	Chcem s tebou hovoriť o Davidovi.
I remember that we discussed all the possible things we might do.	Spomínam si, ako sme debatovali o všetkom možnom.
You know how many died?	Viete, koľko ľudí zahynulo?
In the end of the week we decided to make a small walk in the westernmost part of Small Carpathians Mts. In the massif of Devínska Kobyla man can find remnants of cenozoic sea with xerothermic sandy habitats. The sand walls of Sandberg, lying only few tens of metres from bank of Morava River, provide a perfect breeding site for the colony of European Bee-eaters (Merops apiaster).	Koncom týždňa sme sa rozhodli, že si urobíme malú vychádzku do najzápadnejšej časti Malých Karpát. Na Devínskej Kobyle sa dajú nájsť pozostatky treťohorného mora a suchomilné piesočné biotopy. Pieskové steny Sandbergu, nachádzajúce sa iba niekoľko desiatok metrov od brehu rieky Moravy predstavujú perfektnú hniezdnu lokalitu pre kolóniu včelárikov zlatých (Merops apiaster).
“When you have children yourself, you begin to understand what you owe your parents”.	„Až keď ty sám budeš mať dieťa, pochopíš, koľko dlhuješ svojim rodičom.“
“We’re pleased that as a result of our discussions, we can now include in a transparency report all U.S. national security-related requests (including FISA as well as National Security Letters) – which until now no company has been permitted to do,” Mr. Ullyot wrote.	“Sme radi, že v dôsledku našich diskusií, teraz môžeme zahrnúť do správy o transparentnosti všetky americkej národnej bezpečnosti súvisiace požiadavky (vrátane FISA, rovnako ako národnej bezpečnosti písmom) -, ktorý až doteraz žiadna spoločnosť bolo povolené robiť “Facebook generálny riaditeľ Ted Ullyot povedal nie-tak-jemných vykopávkach u spoločnosti súperovi.
Advent calendar tower 120g	Adventný kalendár veža 120g
Since the incineration and the co-incineration of certain animal by-products do not fall within the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste (4), adequate rules for the prevention of health risks arising from such operations should be laid down in this Regulation, taking into account the possible effects on the environment.	Keďže spaľovanie a spoluspaľovanie určitých vedľajších živočíšnych produktov nepatrí do rozsahu pôsobnosti smernice 2000/76/ES Európskeho parlamentu a Rady zo 4. decembra 2000 o spaľovaní odpadov ( 4 ), mali by sa v tomto nariadení stanoviť primerané pravidlá pre prevenciu zdravotných rizík vyplývajúcich z takýchto postupov, pričom by mali byť zohľadnené možné dosahy na životné prostredie.
In 98% of all cases, the treatment is successful.	Liečba v 98% prípadov je úspešná.
Formula Smart Rule with sun variables (example in the screenshot below)	Vzorec Smart Rule so slnečnými premennými (príklad na nasledujúcom obrázku)
Can the competent judicial authority of the State executing a European arrest warrant refuse the request for surrender without being in breach of the obligations authorised by the founding Treaties and the other provisions of Community law, on the ground that the State issuing the European arrest warrant has failed to transpose or fully to transpose or has incorrectly transposed (in the sense that the condition of reciprocity has not been satisfied) Council Framework Decision 2002/584/JHA?	Môže príslušný súdny orgán štátu vykonávajúceho európsky zatykač zamietnuť žiadosť o vydanie a neporušiť pritom povinnosti stanovené v zakladajúcich zmluvách a v iných právnych predpisoch Spoločenstva z dôvodu, že štát vydávajúci európsky zatykač neprebral rámcové rozhodnutie Rady 2002/584/SVV (1), alebo že ho prebral neúplne alebo nesprávne (v tom zmysle, že nie je splnená podmienka vzájomnosti)?
Obviously, our clients often prefer anonymity.	Prirodzene, naši klienti často uprednostňujú anonymitu.
A couple of things hurt my budget.	Niekoľko vecí mi poškodilo rozpočet.
Group69309	Grupáč69309
We are under a legal duty to supply Products that are in conformity with this contract.	Máme zo zákona povinnosť dodávať produkty, ktoré sú v súlade s touto zmluvou.
We finally went flying!	Konečne vieme lietať!
In Table 1 of the Annex to Regulation (EU) No 37/2010, an entry for the following substance is inserted in alphabetical order:	Do tabuľky 1 prílohy k nariadeniu (EÚ) č. 37/2010 sa v abecednom poradí vkladá zápis tejto látky:
Gruber Pharmaceuticals dumped toxic waste into Frog Creek, a tributary of the Trout River that feeds into Clearwater Lake.	Gruber Pharmaceuticals vysypal toxický odpad do Žabej zátoky, prítoku Rieky pstruhov, ktorá napája Priezračné jazero.
I didn’t know how to love myself.	Nevedela som, ako milovať samú seba.
If the floor area exceeds 100 m2, it is not necessary to choose a low-power, the robot cleaner, designed for cleaning the surface of 40m2, as he did not master.	V prípade, že podlahová plocha presahuje 100 m2, nie je nutné voliť nízkej spotreby, robot čistič, určený pre čistenie povrchu 40m2, pretože nemal zvládnuť.
It is necessary to examine all possible consequences.	Je potrebné zvážiť všetky možné dôsledky.
Conversely, policy initiatives such as the single market rely upon the interoperability of national business registers.	A naopak, iniciatívy, ako napr. jednotný trh, sú odkázané na interoperabilitu národných obchodných registrov.
I've seen her work.	Videl som ju pracovať.
We are headed somewhere, moving forward in this parenting journey, and then suddenly the road splits in five different directions.	Idúc vpred na tejto ceste rodičovstve niekam smerujeme, a zrazu sa cesta rozdelí na päť odlišných smerov.
Well, then, go running.	No tak, behávajte.
